skrossi + LF vs f0rsaken right now!,General Discussion,beat his brother first then talk,0,29/10/2022 2:46,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,india cs:go KEKW,0,29/10/2022 13:22,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Clip?,0,29/10/2022 1:22,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,timestamp?,0,29/10/2022 3:46,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Clip?,0,29/10/2022 5:36,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,getting hard diffed by xccurate that barely played the game ,2,29/10/2022 1:07,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Bruh why SkRossi fans malding? Lol one is a legend other has potential but so long to go. Honestly be matured and accept reality frogs,5,29/10/2022 1:10,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,from my vision both are good players thats why we are comparing no one classifies as LEGEND.,4,29/10/2022 1:11,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Xccurate clears Rossi lol,3,29/10/2022 1:13,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,so others can make fun of hum but his fans can't defend him?,-2,29/10/2022 1:13,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Who said anything cringe? Obv Xccurate is trolling none trolling Rossi,3,29/10/2022 1:15,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,"you could defend him if it was possible sadly he is just a bot, will never be competitive in a Tier 1 environment There's no defense",0,29/10/2022 1:16,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Yeah your opinion matters :D,-5,29/10/2022 1:25,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,"yup, its my opinion that skrossi has never done anything relevant in tier 1 valorant I made that shit up he actually has qualified for LAN literally ever, my bad delusional bot fan of a bigger bot",6,29/10/2022 1:26,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Rare babysasuke W,3,29/10/2022 1:29,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,are you the same guy who trying to bait people in stream livechat last evening ? seem like you have many personality huh.,1,29/10/2022 1:50,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,LibertyVAL the cringiest vlr user in this site rn fkn instigator,5,29/10/2022 1:51,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,No,3,29/10/2022 1:53,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,yes you are lil bro,1,29/10/2022 1:57,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,he's actually a diehard GE fan,0,29/10/2022 1:58,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,OMEGALUL SSSami clears GE. I hecking love SSSami BatChest (not kidding),-6,29/10/2022 2:01,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,"Skrossi is 25 years old while xccurate is 24, who has more potential lol. People start getting worse each year they age so basically skrossi already reached his limits, if he cant perform next year his out",8,29/10/2022 24:38,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,while xccurate still got that igl potential if you watch his stream,18,29/10/2022 13:30,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,"yes xccurate is definitely much more better coz he is more successful in CS , and meanwhile skrossi is just a normal average pro",1,30/10/2022 5:17,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,skrossi fans being cringe in f0rsaken chat LMAO,-5,29/10/2022 1:13,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,OT lfg,13,29/10/2022 1:14,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,niffyyyyyyyyy,-1,29/10/2022 1:16,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,bro he so gud,1,29/10/2022 1:16,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,GGs,0,29/10/2022 1:17,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,GG,0,29/10/2022 1:17,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,ggs,0,29/10/2022 1:19,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Round 2 KEKW,0,29/10/2022 1:19,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,who won?,0,29/10/2022 1:19,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Golu Ganesh & frnds,0,29/10/2022 1:20,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Rossi and if's team everyone played good tho,2,29/10/2022 1:20,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,They are playing each other again. Rematch,0,29/10/2022 1:21,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,"RB, fOrsaken,Xccurate,Georgyyy vs SKRossi, LF,Nephh",4,29/10/2022 1:25,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,Bro why y'all hyping rank so much,4,29/10/2022 1:28,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,"who tf cares its a ranked match, forsaken clears skrossi in official matches",-3,29/10/2022 1:28,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,4ken master Copenhagen was his Peak performance KEK,-1,29/10/2022 3:37,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,skrossi reaching lower quarter finals on all the vcts jason won was his peak LMAOOOOOOOo,-2,29/10/2022 7:19,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,"after that match, a lot of people are spamming ez in jason's live chat. lol so cringe",0,29/10/2022 1:31,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,LMAO that's so fucking cringe + it's a ranked match,5,29/10/2022 1:32,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,ikr why are they so proud after beating jason in a ranked game XD even skrossi was just chilling but these annoying fans are just too much,2,29/10/2022 1:34,29/10/2022,12:39
skrossi + LF vs f0rsaken right now!,General Discussion,you dont find xccurate calling rossi skbotsi on stream and forsaken luaghing cringe even tho rossi isnt toxic and doesnt do banter?,-2,29/10/2022 2:48,29/10/2022,12:39
