team_name,team_aggr,total_map_win,best_of_type,pick_team,match_res,map_stats,total_win,t_win,ct_win,event_name,match_type,player_list,ban_map_1,ban_map_2,pick_map_1,pick_map_2,pick_map_3,match_map_1,match_map_2,match_map_3,match_map_4,match_map_5,match_url
Gentle Mates,M8,2,Bo3,B,win,"[['Haven', 13, 8, 5], ['Pearl', 13, 6, 7]]",26,14,12,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['M8 Minny', 'M8 marteen', 'M8 GLYPH', 'M8 starxo', 'M8 bipo']",Breeze,Corrode,Pearl,Abyss,-,Haven,Pearl,-,-,-,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
EDward Gaming,EDG,0,Bo3,A,loss,"[['Haven', 11, 7, 4], ['Pearl', 7, 1, 6]]",18,8,10,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['EDG ZmjjKK', 'EDG cb', 'EDG CHICHOO', 'EDG Smoggy', 'EDG nobody']",Split,Bind,Haven,Abyss,-,Haven,Pearl,-,-,-,https://www.vlr.gg/625788/gentle-mates-vs-edward-gaming-valorant-masters-santiago-2026-r1
Xi Lai Gaming,XLG,0,Bo3,B,loss,"[['Haven', 2, 0, 2], ['Abyss', 10, 7, 3]]",12,7,5,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['XLG happywei', 'XLG Lysoar', 'XLG Rarga', 'XLG WsLeo', 'XLG NoMan']",Corrode,Breeze,Abyss,Pearl,-,Haven,Abyss,-,-,-,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1
NRG,NRG,2,Bo3,A,win,"[['Haven', 13, 10, 3], ['Abyss', 13, 9, 4]]",26,19,7,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['NRG keiko', 'NRG brawk', 'NRG mada', 'NRG skuba', 'NRG Ethan']",Bind,Split,Haven,Pearl,-,Haven,Abyss,-,-,-,https://www.vlr.gg/625791/xi-lai-gaming-vs-nrg-valorant-masters-santiago-2026-r1
G2 Esports,G2,0,Bo3,B,loss,"[['Split', 9, 4, 5], ['Corrode', 5, 5, 0]]",14,9,5,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['G2 valyn', 'G2 trent', 'G2 leaf', 'G2 jawgemo', 'G2 BABYBAY']",Haven,Bind,Corrode,Breeze,-,Split,Corrode,-,-,-,https://www.vlr.gg/625790/g2-esports-vs-paper-rex-valorant-masters-santiago-2026-r1
Paper Rex,PRX,2,Bo3,A,win,"[['Split', 13, 5, 8], ['Corrode', 13, 6, 7]]",26,11,15,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['PRX f0rsakeN', 'PRX d4v41', 'PRX invy', 'PRX Jinggg', 'PRX something']",Abyss,Pearl,Split,Breeze,-,Split,Corrode,-,-,-,https://www.vlr.gg/625790/g2-esports-vs-paper-rex-valorant-masters-santiago-2026-r1
T1,T1,0,Bo3,B,loss,"[['Breeze', 8, 4, 4], ['Split', 13, 5, 7]]",21,9,11,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['T1 stax', 'T1 iZu', 'T1 Munchkin', 'T1 BuZz', 'T1 Meteor']",Bind,Corrode,Split,Haven,-,Breeze,Split,-,-,-,https://www.vlr.gg/625789/t1-vs-team-liquid-valorant-masters-santiago-2026-r1
Team Liquid,TL,2,Bo3,A,win,"[['Breeze', 13, 5, 8], ['Split', 15, 5, 7]]",28,10,15,Valorant Masters Santiago 2026,Swiss Stage: Round 1,"['TL MiniBoo', 'TL purp0', 'TL wayne', 'TL kamo', 'TL nAts']",Pearl,Abyss,Breeze,Haven,-,Breeze,Split,-,-,-,https://www.vlr.gg/625789/t1-vs-team-liquid-valorant-masters-santiago-2026-r1
Paper Rex,PRX,2,Bo3,A,win,"[['Split', 10, 6, 4], ['Pearl', 13, 7, 6], ['Haven', 11, 7, 4]]",34,20,14,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (1-0),"['PRX invy', 'PRX f0rsakeN', 'PRX d4v41', 'PRX Jinggg', 'PRX something']",Abyss,Corrode,Split,Haven,-,Split,Pearl,Haven,-,-,https://www.vlr.gg/626529/paper-rex-vs-nrg-valorant-masters-santiago-2026-r2-1-0
NRG,NRG,1,Bo3,B,loss,"[['Split', 13, 7, 6], ['Pearl', 10, 5, 5], ['Haven', 13, 8, 5]]",36,20,16,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (1-0),"['NRG keiko', 'NRG mada', 'NRG Ethan', 'NRG brawk', 'NRG skuba']",Bind,Breeze,Pearl,Haven,-,Split,Pearl,Haven,-,-,https://www.vlr.gg/626529/paper-rex-vs-nrg-valorant-masters-santiago-2026-r2-1-0
Gentle Mates,M8,2,Bo3,A,win,"[['Pearl', 11, 6, 5], ['Bind', 3, 1, 2]]",14,7,7,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (1-0),"['M8 marteen', 'M8 starxo', 'M8 Minny', 'M8 bipo', 'M8 GLYPH']",Breeze,Corrode,Pearl,Split,-,Pearl,Bind,-,-,-,https://www.vlr.gg/626530/gentle-mates-vs-team-liquid-valorant-masters-santiago-2026-r2-1-0
Team Liquid,TL,0,Bo3,B,loss,"[['Pearl', 13, 7, 6], ['Bind', 13, 10, 3]]",26,17,9,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (1-0),"['TL nAts', 'TL kamo', 'TL purp0', 'TL wayne', 'TL MiniBoo']",Abyss,Haven,Bind,Split,-,Pearl,Bind,-,-,-,https://www.vlr.gg/626530/gentle-mates-vs-team-liquid-valorant-masters-santiago-2026-r2-1-0
EDward Gaming,EDG,0,Bo3,B,loss,"[['Bind', 1, 0, 1], ['Haven', 10, 4, 6]]",11,4,7,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (0-1),"['EDG ZmjjKK', 'EDG CHICHOO', 'EDG Smoggy', 'EDG nobody', 'EDG cb']",Breeze,Pearl,Haven,Split,-,Bind,Haven,-,-,-,https://www.vlr.gg/626532/edward-gaming-vs-t1-valorant-masters-santiago-2026-r2-0-1
T1,T1,2,Bo3,A,win,"[['Bind', 13, 11, 2], ['Haven', 13, 5, 8]]",26,16,10,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (0-1),"['T1 stax', 'T1 Munchkin', 'T1 BuZz', 'T1 iZu', 'T1 Meteor']",Corrode,Abyss,Bind,Split,-,Bind,Haven,-,-,-,https://www.vlr.gg/626532/edward-gaming-vs-t1-valorant-masters-santiago-2026-r2-0-1
Xi Lai Gaming,XLG,0,Bo3,A,loss,"[['Abyss', 13, 6, 7], ['Haven', 13, 4, 9]]",26,10,16,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (0-1),"['XLG happywei', 'XLG Lysoar', 'XLG NoMan', 'XLG Rarga', 'XLG WsLeo']",Corrode,Split,Abyss,Breeze,-,Abyss,Haven,-,-,-,https://www.vlr.gg/626533/xi-lai-gaming-vs-g2-esports-valorant-masters-santiago-2026-r2-0-1
G2 Esports,G2,2,Bo3,B,win,"[['Abyss', 8, 2, 6], ['Haven', 3, 3, 0]]",11,5,6,Valorant Masters Santiago 2026,Swiss Stage: Round 2 (0-1),"['G2 leaf', 'G2 jawgemo', 'G2 valyn', 'G2 trent', 'G2 BABYBAY']",Pearl,Bind,Haven,Breeze,-,Abyss,Haven,-,-,-,https://www.vlr.gg/626533/xi-lai-gaming-vs-g2-esports-valorant-masters-santiago-2026-r2-0-1
NRG,NRG,2,Bo3,B,win,"[['Breeze', 13, 8, 5], ['Abyss', 13, 5, 8]]",26,13,13,Valorant Masters Santiago 2026,Swiss Stage: Round 3,"['NRG keiko', 'NRG skuba', 'NRG brawk', 'NRG mada', 'NRG Ethan']",Bind,Split,Abyss,Pearl,-,Breeze,Abyss,-,-,-,https://www.vlr.gg/626535/nrg-vs-team-liquid-valorant-masters-santiago-2026-r3
Team Liquid,TL,0,Bo3,A,loss,"[['Breeze', 11, 7, 4], ['Abyss', 4, 4, 0]]",15,11,4,Valorant Masters Santiago 2026,Swiss Stage: Round 3,"['TL wayne', 'TL nAts', 'TL kamo', 'TL purp0', 'TL MiniBoo']",Haven,Corrode,Breeze,Pearl,-,Breeze,Abyss,-,-,-,https://www.vlr.gg/626535/nrg-vs-team-liquid-valorant-masters-santiago-2026-r3
G2 Esports,G2,2,Bo3,B,win,"[['Breeze', 13, 7, 6], ['Haven', 16, 10, 2]]",29,17,8,Valorant Masters Santiago 2026,Swiss Stage: Round 3,"['G2 trent', 'G2 jawgemo', 'G2 leaf', 'G2 BABYBAY', 'G2 valyn']",Bind,Pearl,Haven,Split,-,Breeze,Haven,-,-,-,https://www.vlr.gg/626534/g2-esports-vs-t1-valorant-masters-santiago-2026-r3
T1,T1,0,Bo3,A,loss,"[['Breeze', 6, 1, 5], ['Haven', 14, 10, 2]]",20,11,7,Valorant Masters Santiago 2026,Swiss Stage: Round 3,"['T1 iZu', 'T1 Munchkin', 'T1 BuZz', 'T1 Meteor', 'T1 stax']",Corrode,Abyss,Breeze,Split,-,Breeze,Haven,-,-,-,https://www.vlr.gg/626534/g2-esports-vs-t1-valorant-masters-santiago-2026-r3
FURIA,FUR,1,Bo3,B,loss,"[['Haven', 13, 7, 6], ['Breeze', 4, 3, 1], ['Split', 7, 7, 0]]",24,17,7,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['FUR eeiu', 'FUR koalanoob', 'FUR nerve', 'FUR artzin', 'FUR alym']",Bind,Pearl,Breeze,Split,-,Haven,Breeze,Split,-,-,https://www.vlr.gg/626539/furia-vs-paper-rex-valorant-masters-santiago-2026-ubqf
Paper Rex,PRX,2,Bo3,A,win,"[['Haven', 9, 6, 3], ['Breeze', 13, 4, 9], ['Split', 13, 8, 5]]",35,18,17,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['PRX something', 'PRX d4v41', 'PRX invy', 'PRX Jinggg', 'PRX f0rsakeN']",Abyss,Corrode,Haven,Split,-,Haven,Breeze,Split,-,-,https://www.vlr.gg/626539/furia-vs-paper-rex-valorant-masters-santiago-2026-ubqf
Nongshim RedForce,NS,2,Bo3,B,win,"[['Haven', 13, 6, 7], ['Corrode', 13, 8, 5]]",26,14,12,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['NS Ivy', 'NS Dambi', 'NS Xross', 'NS Rb', 'NS Francis']",Pearl,Abyss,Corrode,Bind,-,Haven,Corrode,-,-,-,https://www.vlr.gg/626537/nongshim-redforce-vs-gentle-mates-valorant-masters-santiago-2026-ubqf
Gentle Mates,M8,0,Bo3,A,loss,"[['Haven', 10, 5, 5], ['Corrode', 10, 7, 3]]",20,12,8,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['M8 marteen', 'M8 GLYPH', 'M8 starxo', 'M8 Minny', 'M8 bipo']",Breeze,Split,Haven,Bind,-,Haven,Corrode,-,-,-,https://www.vlr.gg/626537/nongshim-redforce-vs-gentle-mates-valorant-masters-santiago-2026-ubqf
BBL Esports,BBL,1,Bo3,A,loss,"[['Pearl', 13, 9, 4], ['Abyss', 6, 3, 3], ['Split', 17, 5, 7]]",36,17,14,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['BBL rock lovers', 'BBL Loita', 'BBL Lar0k', 'BBL Crewen', 'BBL Rosé']",Bind,Corrode,Pearl,Split,-,Pearl,Abyss,Split,-,-,https://www.vlr.gg/626540/bbl-esports-vs-nrg-valorant-masters-santiago-2026-ubqf
NRG,NRG,2,Bo3,B,win,"[['Pearl', 6, 3, 3], ['Abyss', 13, 9, 4], ['Split', 15, 5, 7]]",34,17,14,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['NRG Ethan', 'NRG skuba', 'NRG keiko', 'NRG brawk', 'NRG mada']",Haven,Breeze,Abyss,Split,-,Pearl,Abyss,Split,-,-,https://www.vlr.gg/626540/bbl-esports-vs-nrg-valorant-masters-santiago-2026-ubqf
All Gamers,AG,0,Bo3,A,loss,"[['Split', 13, 8, 5], ['Abyss', 13, 4, 9]]",26,12,14,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['AG f4ngeer', 'AG Au1', 'AG iamgrq', 'AG Shr1mp', 'AG K1ra']",Haven,Breeze,Split,Bind,-,Split,Abyss,-,-,-,https://www.vlr.gg/626538/all-gamers-vs-g2-esports-valorant-masters-santiago-2026-ubqf
G2 Esports,G2,2,Bo3,B,win,"[['Split', 6, 2, 4], ['Abyss', 4, 3, 1]]",10,5,5,Valorant Masters Santiago 2026,Playoffs: Upper Quarterfinals,"['G2 BABYBAY', 'G2 valyn', 'G2 trent', 'G2 leaf', 'G2 jawgemo']",Pearl,Corrode,Abyss,Bind,-,Split,Abyss,-,-,-,https://www.vlr.gg/626538/all-gamers-vs-g2-esports-valorant-masters-santiago-2026-ubqf
FURIA,FUR,1,Bo3,A,loss,"[['Haven', 13, 4, 9], ['Breeze', 10, 5, 5], ['Abyss', 13, 4, 9]]",36,13,23,Valorant Masters Santiago 2026,Playoffs: Lower Round 1,"['FUR eeiu', 'FUR artzin', 'FUR alym', 'FUR koalanoob', 'FUR nerve']",Pearl,Corrode,Haven,Abyss,-,Haven,Breeze,Abyss,-,-,https://www.vlr.gg/626546/furia-vs-bbl-esports-valorant-masters-santiago-2026-lr1
BBL Esports,BBL,2,Bo3,B,win,"[['Haven', 7, 3, 4], ['Breeze', 13, 6, 7], ['Abyss', 11, 3, 8]]",31,12,19,Valorant Masters Santiago 2026,Playoffs: Lower Round 1,"['BBL Lar0k', 'BBL Loita', 'BBL Crewen', 'BBL Rosé', 'BBL rock lovers']",Bind,Split,Breeze,Abyss,-,Haven,Breeze,Abyss,-,-,https://www.vlr.gg/626546/furia-vs-bbl-esports-valorant-masters-santiago-2026-lr1
Gentle Mates,M8,1,Bo3,A,loss,"[['Pearl', 5, 1, 4], ['Split', 13, 5, 8], ['Bind', 13, 9, 4]]",31,15,16,Valorant Masters Santiago 2026,Playoffs: Lower Round 1,"['M8 marteen', 'M8 starxo', 'M8 Minny', 'M8 bipo', 'M8 GLYPH']",Breeze,Corrode,Pearl,Bind,-,Pearl,Split,Bind,-,-,https://www.vlr.gg/626545/gentle-mates-vs-all-gamers-valorant-masters-santiago-2026-lr1
All Gamers,AG,2,Bo3,B,win,"[['Pearl', 13, 8, 5], ['Split', 4, 4, 0], ['Bind', 8, 8, 0]]",25,20,5,Valorant Masters Santiago 2026,Playoffs: Lower Round 1,"['AG K1ra', 'AG iamgrq', 'AG Au1', 'AG Shr1mp', 'AG f4ngeer']",Haven,Abyss,Split,Bind,-,Pearl,Split,Bind,-,-,https://www.vlr.gg/626545/gentle-mates-vs-all-gamers-valorant-masters-santiago-2026-lr1
Nongshim RedForce,NS,2,Bo3,B,win,"[['Corrode', 13, 10, 3], ['Split', 14, 4, 8], ['Abyss', 7, 2, 5]]",34,16,16,Valorant Masters Santiago 2026,Playoffs: Upper Semifinals,"['NS Dambi', 'NS Ivy', 'NS Xross', 'NS Francis', 'NS Rb']",Pearl,Haven,Corrode,Split,-,Abyss,Corrode,Split,-,-,https://www.vlr.gg/626541/nongshim-redforce-vs-g2-esports-valorant-masters-santiago-2026-ubsf
G2 Esports,G2,1,Bo3,A,loss,"[['Corrode', 7, 5, 2], ['Split', 12, 4, 8], ['Abyss', 13, 7, 6]]",32,16,16,Valorant Masters Santiago 2026,Playoffs: Upper Semifinals,"['G2 leaf', 'G2 trent', 'G2 valyn', 'G2 jawgemo', 'G2 BABYBAY']",Bind,Breeze,Abyss,Split,-,Abyss,Corrode,Split,-,-,https://www.vlr.gg/626541/nongshim-redforce-vs-g2-esports-valorant-masters-santiago-2026-ubsf
Paper Rex,PRX,0,Bo3,B,loss,"[['Pearl', 12, 7, 5], ['Bind', 11, 7, 4]]",23,14,9,Valorant Masters Santiago 2026,Playoffs: Upper Semifinals,"['PRX something', 'PRX d4v41', 'PRX invy', 'PRX f0rsakeN', 'PRX Jinggg']",Abyss,Corrode,Bind,Split,-,Pearl,Bind,-,-,-,https://www.vlr.gg/626542/paper-rex-vs-nrg-valorant-masters-santiago-2026-ubsf
NRG,NRG,2,Bo3,A,win,"[['Pearl', 14, 7, 5], ['Bind', 13, 8, 5]]",27,15,10,Valorant Masters Santiago 2026,Playoffs: Upper Semifinals,"['NRG skuba', 'NRG mada', 'NRG brawk', 'NRG keiko', 'NRG Ethan']",Haven,Breeze,Pearl,Split,-,Pearl,Bind,-,-,-,https://www.vlr.gg/626542/paper-rex-vs-nrg-valorant-masters-santiago-2026-ubsf
G2 Esports,G2,2,Bo3,B,win,"[['Haven', 13, 11, 2], ['Breeze', 13, 6, 7]]",26,17,9,Valorant Masters Santiago 2026,Playoffs: Lower Round 2,"['G2 jawgemo', 'G2 trent', 'G2 valyn', 'G2 BABYBAY', 'G2 leaf']",Pearl,Split,Breeze,Abyss,-,Haven,Breeze,-,-,-,https://www.vlr.gg/626548/g2-esports-vs-bbl-esports-valorant-masters-santiago-2026-lr2
BBL Esports,BBL,0,Bo3,A,loss,"[['Haven', 5, 4, 1], ['Breeze', 8, 2, 6]]",13,6,7,Valorant Masters Santiago 2026,Playoffs: Lower Round 2,"['BBL Loita', 'BBL Lar0k', 'BBL rock lovers', 'BBL Crewen', 'BBL Rosé']",Bind,Corrode,Haven,Abyss,-,Haven,Breeze,-,-,-,https://www.vlr.gg/626548/g2-esports-vs-bbl-esports-valorant-masters-santiago-2026-lr2
Paper Rex,PRX,2,Bo3,B,win,"[['Corrode', 10, 7, 3], ['Pearl', 13, 6, 7], ['Split', 13, 9, 4]]",36,22,14,Valorant Masters Santiago 2026,Playoffs: Lower Round 2,"['PRX invy', 'PRX something', 'PRX Jinggg', 'PRX d4v41', 'PRX f0rsakeN']",Abyss,Bind,Pearl,Split,-,Corrode,Pearl,Split,-,-,https://www.vlr.gg/626547/paper-rex-vs-all-gamers-valorant-masters-santiago-2026-lr2
All Gamers,AG,1,Bo3,A,loss,"[['Corrode', 13, 9, 4], ['Pearl', 7, 1, 6], ['Split', 4, 1, 3]]",24,11,13,Valorant Masters Santiago 2026,Playoffs: Lower Round 2,"['AG f4ngeer', 'AG Shr1mp', 'AG K1ra', 'AG Au1', 'AG iamgrq']",Haven,Breeze,Corrode,Split,-,Corrode,Pearl,Split,-,-,https://www.vlr.gg/626547/paper-rex-vs-all-gamers-valorant-masters-santiago-2026-lr2
Nongshim RedForce,NS,2,Bo3,A,win,"[['Bind', 9, 5, 4], ['Abyss', 11, 8, 3]]",20,13,7,Valorant Masters Santiago 2026,Playoffs: Upper Final,"['NS Francis', 'NS Rb', 'NS Dambi', 'NS Ivy', 'NS Xross']",Pearl,Breeze,Bind,Haven,-,Bind,Abyss,-,-,-,https://www.vlr.gg/626543/nongshim-redforce-vs-nrg-valorant-masters-santiago-2026-ubf
NRG,NRG,0,Bo3,B,loss,"[['Bind', 13, 6, 7], ['Abyss', 13, 9, 4]]",26,15,11,Valorant Masters Santiago 2026,Playoffs: Upper Final,"['NRG keiko', 'NRG skuba', 'NRG brawk', 'NRG mada', 'NRG Ethan']",Corrode,Split,Abyss,Haven,-,Bind,Abyss,-,-,-,https://www.vlr.gg/626543/nongshim-redforce-vs-nrg-valorant-masters-santiago-2026-ubf
Paper Rex,PRX,2,Bo3,A,win,"[['Haven', 13, 6, 7], ['Breeze', 9, 4, 5], ['Corrode', 4, 2, 2]]",26,12,14,Valorant Masters Santiago 2026,Playoffs: Lower Round 3,"['PRX something', 'PRX Jinggg', 'PRX d4v41', 'PRX f0rsakeN', 'PRX invy']",Abyss,Pearl,Haven,Corrode,-,Haven,Breeze,Corrode,-,-,https://www.vlr.gg/626549/paper-rex-vs-g2-esports-valorant-masters-santiago-2026-lr3
G2 Esports,G2,1,Bo3,B,loss,"[['Haven', 11, 5, 6], ['Breeze', 13, 5, 8], ['Corrode', 13, 3, 10]]",37,13,24,Valorant Masters Santiago 2026,Playoffs: Lower Round 3,"['G2 jawgemo', 'G2 trent', 'G2 valyn', 'G2 leaf', 'G2 BABYBAY']",Split,Bind,Breeze,Corrode,-,Haven,Breeze,Corrode,-,-,https://www.vlr.gg/626549/paper-rex-vs-g2-esports-valorant-masters-santiago-2026-lr3
NRG,NRG,1,Bo5,A,loss,"[['Pearl', 8, 2, 6], ['Split', 13, 7, 6], ['Corrode', 13, 6, 7], ['Breeze', 13, 9, 4]]",47,24,23,Valorant Masters Santiago 2026,Playoffs: Lower Final,"['NRG skuba', 'NRG mada', 'NRG keiko', 'NRG Ethan', 'NRG brawk']",Bind,-,Pearl,Corrode,Haven,Pearl,Split,Corrode,Breeze,-,https://www.vlr.gg/626550/nrg-vs-paper-rex-valorant-masters-santiago-2026-lbf
Paper Rex,PRX,3,Bo5,B,win,"[['Pearl', 13, 6, 7], ['Split', 7, 2, 5], ['Corrode', 6, 5, 1], ['Breeze', 9, 6, 3]]",35,19,16,Valorant Masters Santiago 2026,Playoffs: Lower Final,"['PRX invy', 'PRX d4v41', 'PRX f0rsakeN', 'PRX Jinggg', 'PRX something']",Abyss,-,Split,Breeze,Haven,Pearl,Split,Corrode,Breeze,-,https://www.vlr.gg/626550/nrg-vs-paper-rex-valorant-masters-santiago-2026-lbf
Nongshim RedForce,NS,3,Bo5,A,win,"[['Corrode', 11, 3, 8], ['Split', 4, 3, 1], ['Abyss', 3, 2, 1]]",18,8,10,Valorant Masters Santiago 2026,Playoffs: Grand Final,"['NS Xross', 'NS Ivy', 'NS Francis', 'NS Dambi', 'NS Rb']",Pearl,Breeze,Corrode,Abyss,Bind,Corrode,Split,Abyss,-,-,https://www.vlr.gg/626544/nongshim-redforce-vs-paper-rex-valorant-masters-santiago-2026-gf
Paper Rex,PRX,0,Bo5,B,loss,"[['Corrode', 13, 4, 9], ['Split', 13, 4, 9], ['Abyss', 13, 3, 10]]",39,11,28,Valorant Masters Santiago 2026,Playoffs: Grand Final,"['PRX d4v41', 'PRX Jinggg', 'PRX f0rsakeN', 'PRX invy', 'PRX something']",-,-,Split,Haven,Bind,Corrode,Split,Abyss,-,-,https://www.vlr.gg/626544/nongshim-redforce-vs-paper-rex-valorant-masters-santiago-2026-gf
ENVY,ENVY,2,Bo3,A,win,"[['Abyss', 13, 3, 10], ['Corrode', 10, 5, 5], ['Bind', 9, 5, 4]]",32,13,19,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['ENVY Eggsterr', 'ENVY Inspire', 'ENVY Rossy', 'ENVY keznit', 'ENVY P0PPIN']",Haven,Pearl,Abyss,Bind,-,Abyss,Corrode,Bind,-,-,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
Evil Geniuses,EG,1,Bo3,B,loss,"[['Abyss', 9, 2, 7], ['Corrode', 13, 6, 7], ['Bind', 13, 6, 7]]",35,14,21,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['EG dgzin', 'EG Okeanos', 'EG supamen', 'EG bao', 'EG C0M']",Breeze,Split,Corrode,Bind,-,Abyss,Corrode,Bind,-,-,https://www.vlr.gg/596399/envy-vs-evil-geniuses-vct-2026-americas-kickoff-ur1
LOUD,LOUD,0,Bo3,B,loss,"[['Haven', 7, 5, 2], ['Abyss', 11, 7, 4]]",18,12,6,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['LOUD lukxo', 'LOUD Darker', 'LOUD cauanzin', 'LOUD pANcada', 'LOUD Virtyy']",Split,Pearl,Abyss,Bind,-,Haven,Abyss,-,-,-,https://www.vlr.gg/596398/loud-vs-cloud9-vct-2026-americas-kickoff-ur1
Cloud9,C9,2,Bo3,A,win,"[['Haven', 13, 6, 7], ['Abyss', 13, 8, 5]]",26,14,12,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['C9 penny', 'C9 OXY', 'C9 Xeppaa', 'C9 v1c', 'C9 Zellsis']",Breeze,Corrode,Haven,Bind,-,Haven,Abyss,-,-,-,https://www.vlr.gg/596398/loud-vs-cloud9-vct-2026-americas-kickoff-ur1
KRÜ Esports,KRÜ,1,Bo3,A,loss,"[['Pearl', 10, 5, 5], ['Breeze', 13, 8, 5], ['Abyss', 13, 5, 8]]",36,18,18,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['KRÜ mta', 'KRÜ infiltrator', 'KRÜ NagZ', 'KRÜ benG', 'KRÜ Governor']",Haven,Bind,Pearl,Abyss,-,Pearl,Breeze,Abyss,-,-,https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1
FURIA,FUR,2,Bo3,B,win,"[['Pearl', 13, 7, 6], ['Breeze', 8, 7, 1], ['Abyss', 5, 4, 1]]",26,18,8,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['FUR artzin', 'FUR koalanoob', 'FUR alym', 'FUR eeiu', 'FUR nerve']",Split,Corrode,Breeze,Abyss,-,Pearl,Breeze,Abyss,-,-,https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1
100 Thieves,100T,2,Bo3,B,win,"[['Bind', 13, 9, 4], ['Pearl', 10, 7, 3], ['Split', 13, 6, 7]]",36,22,14,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['100T vora', '100T bang', '100T Asuna', '100T Cryocells', '100T Timotino']",Corrode,Haven,Pearl,Split,-,Bind,Pearl,Split,-,-,https://www.vlr.gg/596401/100-thieves-vs-leviat-n-vct-2026-americas-kickoff-ur1
LEVIATÁN,LEV,1,Bo3,A,loss,"[['Bind', 9, 6, 3], ['Pearl', 13, 8, 5], ['Split', 9, 3, 6]]",31,17,14,VCT 2026: Americas Kickoff,Main Event: Upper Round 1,"['LEV Sato', 'LEV PxS', 'LEV kiNgg', 'LEV spike', 'LEV blowz']",Abyss,Breeze,Bind,Split,-,Bind,Pearl,Split,-,-,https://www.vlr.gg/596401/100-thieves-vs-leviat-n-vct-2026-americas-kickoff-ur1
NRG,NRG,2,Bo3,B,win,"[['Pearl', 13, 10, 3], ['Breeze', 13, 3, 10]]",26,13,13,VCT 2026: Americas Kickoff,Main Event: Upper Round 2,"['NRG keiko', 'NRG brawk', 'NRG mada', 'NRG skuba', 'NRG Ethan']",Haven,Split,Breeze,Bind,-,Pearl,Breeze,-,-,-,https://www.vlr.gg/596402/nrg-vs-cloud9-vct-2026-americas-kickoff-ur2
Cloud9,C9,0,Bo3,A,loss,"[['Pearl', 2, 0, 2], ['Breeze', 9, 2, 7]]",11,2,9,VCT 2026: Americas Kickoff,Main Event: Upper Round 2,"['C9 Xeppaa', 'C9 v1c', 'C9 penny', 'C9 OXY', 'C9 Zellsis']",Corrode,Abyss,Pearl,Bind,-,Pearl,Breeze,-,-,-,https://www.vlr.gg/596402/nrg-vs-cloud9-vct-2026-americas-kickoff-ur2
MIBR,MIBR,2,Bo3,B,win,"[['Abyss', 13, 4, 9], ['Corrode', 13, 10, 3]]",26,14,12,VCT 2026: Americas Kickoff,Main Event: Upper Round 2,"['MIBR aspas', 'MIBR Verno', 'MIBR Mazino', 'MIBR tex', 'MIBR zekken']",Split,Pearl,Corrode,Bind,-,Abyss,Corrode,-,-,-,https://www.vlr.gg/596403/mibr-vs-envy-vct-2026-americas-kickoff-ur2
ENVY,ENVY,0,Bo3,A,loss,"[['Abyss', 7, 3, 4], ['Corrode', 11, 9, 2]]",18,12,6,VCT 2026: Americas Kickoff,Main Event: Upper Round 2,"['ENVY Rossy', 'ENVY Inspire', 'ENVY keznit', 'ENVY P0PPIN', 'ENVY Eggsterr']",Haven,Breeze,Abyss,Bind,-,Abyss,Corrode,-,-,-,https://www.vlr.gg/596403/mibr-vs-envy-vct-2026-americas-kickoff-ur2
